age,income,credit_score,risk_factor,decision
56,66535.97819779562,570.5623252042158,0.47368526040337144,1
69,92580.19206698536,592.3687569446593,0.775298018397503,0
46,63227.15849285016,552.6611786696182,0.8016577628080639,0
32,52104.048741518054,583.8172040532049,0.6495261287493691,0
60,49529.112374262855,618.439505754239,0.4677478334001638,1
25,59252.86317516123,696.5609612910191,0.575749639203848,0
38,41812.70460718774,623.2959643522641,0.38501537135561714,0
56,60577.5144629802,665.3375471329831,0.12655634299423824,1
36,58959.606230839716,658.1137526706009,0.3856205973860919,1
40,92830.53897288302,679.9429301289784,0.5303327560696343,1
28,58327.97722818158,587.9111041089644,0.5988340146505841,0
28,21510.236779023006,713.5516229074129,0.9358009760546209,0
41,113470.21940792957,565.5693809027845,0.7773334450306162,0
53,79136.67462312194,623.1312078568036,0.15199256144467732,1
57,101646.9748819117,648.7456755334053,0.17418220665292805,1
41,36853.60026031031,695.6086908889848,0.10049475923975404,1
20,55563.46437487416,732.7585601330452,0.7381817272209178,0
39,73488.02482988639,696.0818912077034,0.706122278491857,0
19,70727.82744568918,734.9549814473515,0.9863629016968811,0
41,66138.75414719104,600.2494442295617,0.5220234176643487,1
61,16007.785629988917,721.4222288042725,0.8264149288488819,0
47,25751.210848713723,711.119403794798,0.5764398586427876,0
55,90350.40218127743,506.2234965784602,0.8740867125274371,0
19,93906.5906573938,636.7721453663435,0.7210210393027515,0
38,57866.974171272086,686.122245402907,0.6428840149912529,0
50,87808.54948812764,619.0751680732736,0.5651226709830504,1
29,39535.444677134044,584.8504896622258,0.7229705244429748,0
39,44111.478930626385,776.8505130765125,0.41965384267101047,0
61,37954.39356273701,656.6624090582544,0.0965765807056641,1
42,43001.60908622708,658.3043260492436,0.0399861287978408,1
66,74453.92019045238,571.4603531074961,0.4790237316091739,1
44,42752.952538731115,613.2583402522256,0.5992915822201413,0
59,104794.86079855729,596.1295622376858,0.07884903057062542,1
45,69201.41212694877,714.7385138083582,0.28690354891210224,1
33,81690.54092990176,680.2780172555631,0.3220322059754871,1
